"","KEGG_ID","Human1_ID","Irreversible_Human1","Irreversible.Old","Irreversible","Fil.Irreversible","Pathway","RN","Reaction_formula","C_in","C_out","C_in_name","C_out_name","M_name","Human1.EQUATION","KEGG.EC","Rhea","Gene_symbol_HSA","Human1.ECNumber","Human1.Ensembl","Human1.Symbol","New_KEGG_Symbol","Final.EC","Final.Symbol","RHEA_ID","Reactome_ID","Reactants_SL","Products_SL","SL_change","Reactome_SL","Final_SL","Final_SL_abbr","SL.confirmed","Note","is_core_pathway","Transporter_Class","Is.transport.reaction","is.reaction.group","Reaction.group.Note","is.newly.added.nucleotide.metabolism","is.nucleotide.metabolism","KEGG_module_ids","KEGG_module_names","BDRL_id","C_in_v1.1","C_out_v1.1"
"BDRL_M_11","R00028","MAR08589","TRUE","FALSE","FALSE","TRUE","Starch and sucrose metabolism;Metabolic pathways","rn00500;rn01100","C00208 + C00001 <=> 2 C00031","C00208_l + C00001_l","C00031_l","Maltose + H2O","D-Glucose","Maltose + H2O = D-Glucose","H2O[l] + maltose[l] => 2 glucose[l]","3.2.1.20","68799","GAA","3.2.1.20","ENSG00000171298","GAA","GAA;GANC;MGAM;MGAM2","3.2.1.20","GAA","68796","","l","l","l","","Lysosome","l","Y","","Y","","N","N","","0","0","","","BDRL_M_11","C00208_l + C00001_l","C00031_l"
"BDRL_M_12","R00031","MAR08541","TRUE",NA,"FALSE","TRUE","Tyrosine metabolism;Isoquinoline alkaloid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites","rn00350;rn00950;rn01100;rn01110","C00007 + 2 C00082 <=> 2 C00355","C00007_c + C00082_c","C00355_c","Oxygen + L-Tyrosine","3,4-Dihydroxy-L-phenylalanine","Oxygen + L-Tyrosine = 3,4-Dihydroxy-L-phenylalanine","O2[c] + 2 tyrosine[c] => 2 L-dopa[c]","1.10.3.1;1.14.18.1",NA,"TYR","1.14.18.1","ENSG00000077498","TYR","TYR","1.14.18.1","TYR","","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_12","C00007_c + C00082_c","C00355_c"
"BDRL_M_13","R00032","MAR08697","TRUE","TRUE","FALSE","TRUE","Retinol metabolism;Metabolic pathways;Biosynthesis of cofactors","rn00830;rn01100;rn01240","C02094 + C00007 <=> 2 C00376","C02094_c + C00007_c","C00376_c","beta-Carotene + Oxygen","Retinal","beta-Carotene + Oxygen = Retinal","beta-carotene[c] + O2[c] => 2 retinal[c]","1.13.11.63","32890","BCO1","3.1.6.14","ENSG00000135697","BCO1","BCO1","3.1.6.14","BCO1","32887","","c","c","c","cytosol","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_13","C02094_c + C00007_c","C00376_c"
"BDRL_M_14","R00036","MAR04744","TRUE","TRUE","FALSE","TRUE","Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors","rn00860;rn01100;rn01110;rn01120;rn01240","2 C00430 <=> C00931 + 2 C00001","C00430_c","C00931_c + C00001_c","5-Aminolevulinate","Porphobilinogen + H2O","5-Aminolevulinate = Porphobilinogen + H2O","2 5-aminolevulinate[c] => H+[c] + 2 H2O[c] + porphobilinogen[c]","4.2.1.24","24067","ALAD","4.2.1.24","ENSG00000148218","ALAD","ALAD","4.2.1.24","ALAD","24065;24064","","c","c","c","cytosol","Cytosol","c","Y","","Y","","N","N","","0","0","M00121; M00846; M00868; M00926","Heme biosynthesis, plants and bacteria, glutamate => heme | Siroheme biosynthesis, glutamyl-tRNA => siroheme | Heme biosynthesis, animals and fungi, glycine => heme | Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme","BDRL_M_14","C00430_c","C00931_c + C00001_c"
"BDRL_M_15","R00045","MAR08542","TRUE",NA,"FALSE","TRUE","Tyrosine metabolism;Metabolic pathways","rn00350;rn01100","C00007 + 2 C00355 <=> 2 C00822 + 2 C00001","C00007_c + C00355_c","C00822_c + C00001_c","Oxygen + 3,4-Dihydroxy-L-phenylalanine","Dopaquinone + H2O","Oxygen + 3,4-Dihydroxy-L-phenylalanine = Dopaquinone + H2O","2 L-dopa[c] + O2[c] => 2 H2O[c] + 2 L-dopaquinone[c]","1.10.3.1;1.14.18.1","34290","TYR","1.14.18.1","ENSG00000077498","TYR","TYR","1.14.18.1","TYR","34288;34287","","c","c","c","melanosome lumen","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_15","C00007_c + C00355_c","C00822_c + C00001_c"
"BDRL_M_16","R00069","",NA,NA,"FALSE","TRUE","Histidine metabolism","rn00340","C05565 + C00027 <=> C03680 + C00007 + C00001","C05565_c + C00027_c","C03680_c + C00007_c + C00001_c","Hydantoin-5-propionate + Hydrogen peroxide","4-Imidazolone-5-propanoate + Oxygen + H2O","Hydantoin-5-propionate + Hydrogen peroxide = 4-Imidazolone-5-propanoate + Oxygen + H2O","","1.14.13.-;1.17.3.2",NA,"XDH","","","","XDH","1.14.13.-;1.17.3.2","XDH","","","","","","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_16","C05565_c + C00027_c","C03680_c + C00007_c + C00001_c"
"BDRL_M_17","R00069","",NA,NA,"FALSE","TRUE","Histidine metabolism","rn00340","C05565 + C00027 <=> C03680 + C00007 + C00001","C05565_x + C00027_x","C03680_x + C00007_x + C00001_x","Hydantoin-5-propionate + Hydrogen peroxide","4-Imidazolone-5-propanoate + Oxygen + H2O","Hydantoin-5-propionate + Hydrogen peroxide = 4-Imidazolone-5-propanoate + Oxygen + H2O","","1.14.13.-;1.17.3.2",NA,"XDH","","","","XDH","1.14.13.-;1.17.3.2","XDH","","","","","","","Peroxisome","x","Y","","Y","","N","N","","0","0","","","BDRL_M_17","C05565_x + C00027_x","C03680_x + C00007_x + C00001_x"
"BDRL_M_18","R00073","",NA,"FALSE","FALSE","FALSE","Arachidonic acid metabolism;Metabolic pathways","rn00590;rn01100","C05956 + C00030 <=> C00427 + C00028 + C00001","C05956_c + C00030_c","C00427_c + C00028_c + C00001_c","Prostaglandin G2 + Reduced acceptor","Prostaglandin H2 + Acceptor + H2O","Prostaglandin G2 + Reduced acceptor = Prostaglandin H2 + Acceptor + H2O","","1.14.99.1",NA,"PTGS1;PTGS2","","","","PTGS1;PTGS2","1.14.99.1","PTGS1;PTGS2","","","","","","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_18","C05956_c + C00030_c","C00427_c + C00028_c + C00001_c"
"BDRL_M_19","R00073","",NA,"FALSE","FALSE","FALSE","Arachidonic acid metabolism;Metabolic pathways","rn00590;rn01100","C00427 + C00028 + C00001 <=> C05956 + C00030","C00427_r + C00028_r + C00001_r","C05956_r + C00030_r","Prostaglandin H2 + Acceptor + H2O","Prostaglandin G2 + Reduced acceptor","Prostaglandin H2 + Acceptor + H2O = Prostaglandin G2 + Reduced acceptor","","1.14.99.1",NA,"PTGS1;PTGS2","","","","PTGS1;PTGS2","1.14.99.1","PTGS1;PTGS2","","","","","","","Endoplasmic Reticulum","r","Y","","Y","","N","N","","0","0","","","BDRL_M_19","C00427_r + C00028_r + C00001_r","C05956_r + C00030_r"
"BDRL_M_20","R00081","MAR06914","TRUE","TRUE","FALSE","TRUE","Metabolic pathways","rn01100","C00007 + 4 C00126 + 8 C00080 <=> 4 C00125 + 2 C00001 + 4 C00080","C00007_m + C00126_m + C00080_m","C00125_m + C00001_m + C00080_m","Oxygen + Ferrocytochrome c + H+","Ferricytochrome c + H2O + H+","Oxygen + Ferrocytochrome c + H+ = Ferricytochrome c + H2O + H+","","7.1.1.9","11439","PTGS1","1.9.3.1","ENSG00000198804 and ENSG00000198712 and ENSG00000198938 and (ENSG00000131143 or ENSG00000131055) and ENSG00000178741 and ENSG00000135940 and (ENSG00000111775 or ENSG00000156885) and (ENSG00000126267 or ENSG00000160471) and ENSG00000164919 and (ENSG00000161281 or ENSG00000112695) and ENSG00000131174 and ENSG00000170516 and ENSG00000127184 and ENSG00000176340 and ENSG00000189043","MT-CO1 and MT-CO2 and MT-CO3 and (COX4I1 or COX4I2) and COX5A and COX5B and (COX6A1 or COX6A2) and (COX6B1 or COX6B2) and COX6C and (COX7A1 or COX7A2) and COX7B and COX7B2 and COX7C and COX8A and NDUFA4","COX1","1.9.3.1","MT-CO1;MT-CO2;MT-CO3;COX4I1;COX4I2;COX5A;COX5B;COX6A1;COX6A2;COX6B1;COX6B2;COX6C;COX7A1;COX7A2;COX7B;COX7B2;COX7C;COX8A;NDUFA4","11436","","m","i,m","m->i,m","","Mitochondria","m","Y","","Y","","N","N","","0","0","M00154; M00155; M00156","Cytochrome c oxidase | Cytochrome c oxidase, prokaryotes | Cytochrome c oxidase, cbb3-type","BDRL_M_20","C00007_m + C00126_m + C00080_m","C00125_m + C00001_m + C00080_m"
"BDRL_M_21","R00084","MAR04746","TRUE","TRUE","FALSE","TRUE","Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors","rn00860;rn01100;rn01110;rn01120;rn01240","4 C00931 + C00001 <=> C01024 + 4 C00014","C00931_c + C00001_c","C01024_c + C00014_c","Porphobilinogen + H2O","Hydroxymethylbilane + Ammonia","Porphobilinogen + H2O = Hydroxymethylbilane + Ammonia","H2O[c] + 4 porphobilinogen[c] => 4 H+[c] + hydroxymethylbilane[c] + 4 NH3[c]","2.5.1.61","13188","HMBS","2.5.1.61","ENSG00000256269","HMBS","HMBS","2.5.1.61","HMBS","13186;13185","","c","c","c","cytosol","Cytosol","c","Y","","Y","","N","N","","0","0","M00121; M00846; M00868; M00926","Heme biosynthesis, plants and bacteria, glutamate => heme | Siroheme biosynthesis, glutamyl-tRNA => siroheme | Heme biosynthesis, animals and fungi, glycine => heme | Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme","BDRL_M_21","C00931_c + C00001_c","C01024_c + C00014_c"
"BDRL_M_22","R00086","MAR03964","TRUE","TRUE","FALSE","TRUE","Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Nucleotide metabolism","rn00230;rn01100;rn01110;rn01232","C00008 + C00009 <=> C00002 + C00001","C00008_c + C00009_c","C00002_c + C00001_c","ADP + Orthophosphate","ATP + H2O","ADP + Orthophosphate = ATP + H2O","","3.6.1.5;3.6.1.8;3.6.1.15;3.6.1.-;7.1.2.2","13068","ENTPD8;ENTPD1;ENTPD3;NTPCR;ATP5F1B;ATP6V1A","","","","ENTPD8;ENTPD1;ENTPD3;NTPCR;ATP5F1B;ATP6V1A","3.6.1.5;3.6.1.8;3.6.1.15;3.6.1.-;7.1.2.2","ENTPD8;ENTPD1;ENTPD3;NTPCR;ATP5F1B;ATP6V1A","13066;13065","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","1","1","M00157; M00158; M00159; M00160","F-type ATPase, prokaryotes and chloroplasts | F-type ATPase, eukaryotes | V/A-type ATPase, prokaryotes | V-type ATPase, eukaryotes","BDRL_M_22","C00008_c + C00009_c","C00002_c + C00001_c"
"BDRL_M_23","R00086","MAR06916","TRUE","TRUE","FALSE","TRUE","Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Nucleotide metabolism","rn00230;rn01100;rn01110;rn01232","C00008 + C00009 <=> C00002 + C00001","C00008_m + C00009_m","C00002_m + C00001_m","ADP + Orthophosphate","ATP + H2O","ADP + Orthophosphate = ATP + H2O","","3.6.1.5;3.6.1.8;3.6.1.15;3.6.1.-;7.1.2.2","13068","ENTPD8;ENTPD1;ENTPD3;NTPCR;ATP5F1B;ATP6V1A","3.6.1.3;3.6.1.5;3.6.3.1;3.6.3.10;3.6.3.14;3.6.3.8;3.6.3.9;3.6.4.3;3.6.4.4;3.6.4.6;3.6.4.12;3.6.4.13","ENSG00000099624 and ENSG00000110955 and ENSG00000116459 and ENSG00000124172 and ENSG00000135390 and ENSG00000152234 and ENSG00000154518 and ENSG00000154723 and ENSG00000156411 and ENSG00000159199 and ENSG00000165629 and ENSG00000167283 and ENSG00000167863 and ENSG00000169020 and ENSG00000173915 and ENSG00000198899 and ENSG00000228253 and ENSG00000241468 and ENSG00000241837 and ENSG00000249222 and ENSG00000180389","ATP5F1D and ATP5F1B and ATP5PB and ATP5F1E and ATP5MC2 and ATP5F1A and ATP5MC3 and ATP5PF and ATP5MJ and ATP5MC1 and ATP5F1C and ATP5MG and ATP5PD and ATP5ME and ATP5MK and MT-ATP6 and MT-ATP8 and ATP5MF and ATP5PO and ATP5MGL and ATP5F1EP2","ENTPD8;ENTPD1;ENTPD3;NTPCR;ATP5F1B;ATP6V1A","3.6.1.3;3.6.1.5;3.6.3.1;3.6.3.10;3.6.3.14;3.6.3.8;3.6.3.9;3.6.4.3;3.6.4.4;3.6.4.6;3.6.4.12;3.6.4.13","ATP5F1D;ATP5F1B;ATP5PB;ATP5F1E;ATP5MC2;ATP5F1A;ATP5MC3;ATP5PF;ATP5MJ;ATP5MC1;ATP5F1C;ATP5MG;ATP5PD;ATP5ME;ATP5MK;MT-ATP6;MT-ATP8;ATP5MF;ATP5PO;ATP5MGL;ATP5F1EP2","13065","","i,m","m","i,m->m","","Mitochondria","m","Y","","Y","","N","N","","1","1","M00157; M00158; M00159; M00160","F-type ATPase, prokaryotes and chloroplasts | F-type ATPase, eukaryotes | V/A-type ATPase, prokaryotes | V-type ATPase, eukaryotes","BDRL_M_23","C00008_m + C00009_m","C00002_m + C00001_m"
"BDRL_M_24","R00087","MAR03966","TRUE",NA,"FALSE","TRUE","Purine metabolism;Metabolic pathways;Nucleotide metabolism","rn00230;rn01100;rn01232","C00002 + C00001 <=> C00020 + C00013","C00002_m + C00001_m","C00020_m + C00013_m","ATP + H2O","AMP + Diphosphate","ATP + H2O = AMP + Diphosphate","","3.6.1.8;3.6.1.9","14248","ENPP1;ENPP3","3.6.1.19","ENSG00000125877","ITPA","ENPP1;ENPP3","3.6.1.19","ITPA","14246;14245","","m","m","m","","Mitochondria","m","Y","","Y","","N","N","","1","1","","","BDRL_M_24","C00002_m + C00001_m","C00020_m + C00013_m"
"BDRL_M_25","R00094","MAR03868","TRUE","FALSE","FALSE","TRUE","","","2 C00051 + C00003 <=> C00127 + C00004 + C00080","C00127_c + C00004_c + C00080_c","C00051_c + C00003_c","Glutathione disulfide + NADH + H+","Glutathione + NAD+"," Glutathione disulfide + NADH + H+ = Glutathione + NAD+ ","GSSG[c] + H+[c] + NADH[c] => 2 GSH[c] + NAD+[c]","1.8.1.7","75702","GSR","1.8.1.7","ENSG00000104687","GSR","GSR","1.8.1.7","GSR","","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_25","C00127_c + C00004_c + C00080_c","C00051_c + C00003_c"
"BDRL_M_26","R00094","MAR03869","TRUE","FALSE","FALSE","TRUE","","","2 C00051 + C00003 <=> C00127 + C00004 + C00080","C00127_m + C00004_m + C00080_m","C00051_m + C00003_m","Glutathione disulfide + NADH + H+","Glutathione + NAD+"," Glutathione disulfide + NADH + H+ = Glutathione + NAD+ ","GSSG[m] + H+[m] + NADH[m] => 2 GSH[m] + NAD+[m]","1.8.1.7","75702","GSR","1.8.1.7","ENSG00000104687","GSR","GSR","1.8.1.7","GSR","","","m","m","m","","Mitochondria","m","Y","","Y","","N","N","","0","0","","","BDRL_M_26","C00127_m + C00004_m + C00080_m","C00051_m + C00003_m"
"BDRL_M_27","R00102","MAR07143","TRUE","TRUE","FALSE","TRUE","Nicotinate and nicotinamide metabolism;Metabolic pathways","rn00760;rn01100","C00003 + C00001 <=> C00153 + C00301","C00003_c + C00001_c","C00153_c + C00301_c","NAD+ + H2O","Nicotinamide + ADP-ribose","NAD+ + H2O = Nicotinamide + ADP-ribose","H2O[c] + NAD+[c] => ADP-ribose[c] + H+[c] + nicotinamide[c]","3.2.2.5;3.2.2.6;3.5.1.-","16304","SARM1;BST1;CD38","3.2.2.5","ENSG00000004468 or ENSG00000109743","CD38 or BST1","SARM1;BST1;CD38","3.2.2.5","CD38;BST1","16301","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_27","C00003_c + C00001_c","C00153_c + C00301_c"
"BDRL_M_28","R00102","MAR07142","TRUE","TRUE","FALSE","TRUE","Nicotinate and nicotinamide metabolism;Metabolic pathways","rn00760;rn01100","C00003 + C00001 <=> C00153 + C00301","C00003_e + C00001_e","C00153_e + C00301_e","NAD+ + H2O","Nicotinamide + ADP-ribose","NAD+ + H2O = Nicotinamide + ADP-ribose","H2O[e] + NAD+[e] => ADP-ribose[e] + H+[e] + nicotinamide[e]","3.2.2.5;3.2.2.6;3.5.1.-","16304","SARM1;BST1;CD38","3.2.2.5","ENSG00000004468 or ENSG00000109743","CD38 or BST1","SARM1;BST1;CD38","3.2.2.5","CD38;BST1","16301","","e","e","e","","Extracellular Matrix","e","Y","","Y","","N","N","","0","0","","","BDRL_M_28","C00003_e + C00001_e","C00153_e + C00301_e"
"BDRL_M_29","R00103","",NA,"TRUE","FALSE","TRUE","Nicotinate and nicotinamide metabolism;Metabolic pathways","rn00760;rn01100","C00003 + C00001 <=> C00020 + C00455","C00003_c + C00001_c","C00020_c + C00455_c","NAD+ + H2O","AMP + Nicotinamide D-ribonucleotide","NAD+ + H2O = AMP + Nicotinamide D-ribonucleotide","","3.6.1.9;3.6.1.22","11803","ENPP1;ENPP3;NUDT13;NUDT12","","","","ENPP1;ENPP3;NUDT13;NUDT12","3.6.1.9;3.6.1.22","ENPP1;ENPP3;NUDT13;NUDT12","","","","","","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_29","C00003_c + C00001_c","C00020_c + C00455_c"
"BDRL_M_30","R00111","MAR03993","TRUE","FALSE","FALSE","TRUE","Arginine and proline metabolism;Metabolic pathways","rn00330;rn01100","C00005 + 2 C05933 + 2 C00007 + C00080 <=> C00006 + 2 C00533 + 2 C00327 + 2 C00001","C00005_c + C05933_c + C00007_c + C00080_c","C00006_c + C00533_c + C00327_c + C00001_c","NADPH + N(omega)-Hydroxyarginine + Oxygen + H+","NADP+ + Nitric oxide + L-Citrulline + H2O","NADPH + N(omega)-Hydroxyarginine + Oxygen + H+ = NADP+ + Nitric oxide + L-Citrulline + H2O","2 N-(omega)-hydroxyarginine[c] + NADPH[c] + 2 O2[c] => 2 citrulline[c] + H+[c] + 2 H2O[c] + NADP+[c] + 2 NO[c]","1.14.13.39","24667","NANOS1;NANOS2;NANOS3","1.14.13.39","ENSG00000007171 or ENSG00000089250 or ENSG00000164867","NOS2 or NOS1 or NOS3","NOS1;NOS2;NOS3","1.14.13.39","NOS2;NOS1;NOS3","24664","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_30","C00005_c + C05933_c + C00007_c + C00080_c","C00006_c + C00533_c + C00327_c + C00001_c"
"BDRL_M_31","R00115","MAR04118","TRUE","TRUE","FALSE","TRUE","Glutathione metabolism;Metabolic pathways","rn00480;rn01100","2 C00051 + C00006 <=> C00127 + C00005 + C00080","C00127_c + C00005_c + C00080_c","C00051_c + C00006_c","Glutathione disulfide + NADPH + H+","Glutathione + NADP+"," Glutathione disulfide + NADPH + H+ = Glutathione + NADP+ ","GSSG[c] + H+[c] + NADPH[c] => 2 GSH[c] + NADP+[c]","1.8.1.7","11743","GSR","1.8.1.7","ENSG00000104687","GSR","GSR","1.8.1.7","GSR","11742;11740","","c","c","c","cytosol","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_31","C00127_c + C00005_c + C00080_c","C00051_c + C00006_c"
